Country_Code,Year,Population_Change,Inflation_Diff,Military_Diff,Export_Diff,Life_Diff,GDP_Diff
ABW,1960,0,,,,,
ABW,1961,0,,,,0.006274557582772289,
ABW,1962,0,,,,0.005599782062535974,
ABW,1963,0,,,,0.005162241887905594,
ABW,1964,0,,,,0.004881189453037171,
ABW,1965,0,,,,0.004797878205414774,
ABW,1966,1,,,,0.00484911396159271,
ABW,1967,0,,,,0.0049142587290811335,
ABW,1968,0,,,,0.00500770981716725,
ABW,1969,1,,,,0.005085042959845687,
ABW,1970,0,,,,0.005175622237729716,
ABW,1971,1,,,,0.005177899913219708,
ABW,1972,1,,,,0.005079282857060496,
ABW,1973,0,,,,0.004867503686418306,
ABW,1974,0,,,,0.004672963770284033,
ABW,1975,0,,,,0.0044527006905938915,
ABW,1976,0,,,,0.004334138043002644,
ABW,1977,0,,,,0.004231093618217718,
ABW,1978,0,,,,0.004129281505018234,
ABW,1979,1,,,,0.004000780640124768,
ABW,1980,1,,,,0.003748802465879164,
ABW,1981,1,,,,0.003388986485551637,
ABW,1982,1,,,,0.0029363919600762234,
ABW,1983,1,,,,0.0024467017635496635,
ABW,1984,0,,,,0.001947099233501115,
ABW,1985,0,,,,0.0015053851733246582,
ABW,1986,0,-0.029582916480179303,,,0.0011068446727975356,
ABW,1987,0,0.025690790499087204,,,0.0008599273839098309,0.20258064509859808
ABW,1988,1,-0.005211769620698005,,,0.000722809410160119,0.22317596575149512
ABW,1989,1,0.008697595499384897,,,0.0006405189566354164,0.16578947366082541
ABW,1990,1,0.0184505970553595,,,0.0005856315968675307,0.10007524460190975
ABW,1991,1,-0.0028113219602588987,,,0.0005580660968040885,0.14021885777422005
ABW,1992,1,-0.016821801855910097,,,0.0004761321742914326,0.09898020556294407
ABW,1993,1,0.013421845903923396,,,0.0003943217665614007,0.12991269631075886
ABW,1994,0,0.0109551975234728,,,0.0003397985674093995,0.15024154547396185
ABW,1995,0,-0.0294968863949545,,,0.00032609581782105934,0.060036362163121915
ABW,1996,0,-0.0013610310106913978,,0.017240677802892068,0.000325989514003977,0.045048971246601344
ABW,1997,0,-0.002253398743557001,,-0.04109534534044301,0.00033946174945009844,0.11013590360481618
ABW,1998,0,-0.011304595616287098,,-0.02875318292617013,0.0003936420029591048,0.08691989612723039
ABW,1999,0,0.004108834464321601,,0.0028332510148270096,0.0005156037991858042,0.034651555239793685
ABW,2000,1,0.017636493293175796,,-0.05533264206124788,0.000664514904120006,0.08744702152212858
ABW,2001,1,-0.011604170087425397,,-0.039027975260846004,0.0008944665049397393,0.024905471396431622
ABW,2002,1,0.004316424826916798,,-0.05576663603653009,0.0011373945540464891,0.011056153475968555
ABW,2003,0,0.003411182935298601,,-0.018197024469975953,0.001366027834507788,0.0411510790587204
ABW,2004,0,-0.0112723561005652,,0.01977806297334206,0.0015937761689943652,0.10254284144590153
ABW,2005,0,0.008686573089604403,,0.03473285956322392,0.0017665461999030185,0.045876159498414504
ABW,2006,0,0.0021023760955734966,,-0.026997185537995017,0.0019115053777913893,0.040268456545731635
ABW,2007,0,0.017845434569097096,,0.0030854213080230286,0.001975036612073211,0.0785714284359118
ABW,2008,0,0.035634192070227805,,0.015434410115033992,0.0019979618107701658,0.049775689042842686
ABW,2009,0,-0.1109141577224724,,-0.03921821527455294,0.0019672131147541183,-0.08974358970155916
ABW,2010,1,0.0421356943907716,,-0.027403965743515002,0.0019366385297574507,-0.04337133943129223
ABW,2011,1,0.022381567033442504,,0.0677102204496659,0.001879573963235126,0.06660434677852312
ABW,2012,1,-0.03688825429058736,,-0.025719727387067848,0.0018760477926502706,-0.005915862932546201
ABW,2013,1,-0.02999537235415864,,0.11306962722901781,0.0018858152166694175,0.0762290058723647
ABW,2014,1,0.027935061614036902,,0.017271922179291077,0.0018822656115373704,0.02309490897354305
ABW,2015,0,0.0005332267846145204,,-0.05422544402561802,0.0018787293438999875,0.061650005433005806
ABW,2016,0,-0.01405959584422228,,-0.010325709621067047,0.0018884120171673846,0.006997134165314112
ABW,2017,0,-0.0009708580054040399,,0.007282761033556184,0.001871671851110035,0.03646331663915703
ABW,2018,0,0.0465432320114958,,0.012507325557151838,0.0018681752400999674,0.035492616821477085
ABW,2019,0,0.006314206298247194,,,0.0018515600378192776,
ABW,2020,0,,,,0.0018481380991701712,
ABW,2021,0,,,,,
ABW,Unnamed: 66,0,,,,,
AFE,1960,0,,,,,
AFE,1961,0,,,,0.010555341921713035,0.021248873613625596
AFE,1962,1,,,,0.010124767470548246,0.08976261972770239
AFE,1963,1,,,,0.009669446479155575,0.19723215289722074
AFE,1964,1,,,,0.009246986198378382,-0.08571681109833973
AFE,1965,1,,0.0038697114559221,,0.00887178483321227,0.13954444043175362
AFE,1966,1,,-0.0043970538063135,,0.008613779684942147,0.08733833174567707
AFE,1967,1,,0.005619315322373503,,0.00843222099172225,0.03502366182126182
AFE,1968,1,,-0.0033478178648548053,,0.008329215910229726,0.08961215964580105
AFE,1969,1,,-8.158723596809678e-05,,0.008229424800553442,0.1480452223522002
AFE,1970,1,,-0.001192991766434899,,0.008120348006411593,0.06812771179043264
AFE,1971,1,,0.0007938351943584977,,0.008005123990726837,0.10320721946042544
AFE,1972,1,,-0.0005506844574162013,,0.007819101867344802,0.08599616245018793
AFE,1973,1,,0.0011325760082003013,,0.0075463630209196,0.30396609516155526
AFE,1974,1,,0.0026479388044362007,,0.007225587977283343,0.24240298009823413
AFE,1975,1,-0.04374294638925602,0.0039991278043011,,0.006814992197863967,0.06625713184598281
AFE,1976,1,-0.040076276180273984,0.005737595955672498,,0.006340301812262528,-0.002698361523776338
AFE,1977,1,0.030215841770063978,0.0031960118548295044,,0.005880109221721552,0.1415510289360462
AFE,1978,1,-0.017111629796280975,-0.0026158283179543995,,0.005468222993403105,0.11956394551857352
AFE,1979,1,0.025429573094614993,-0.0012393918157019013,,0.0051385153096572544,0.17068472835129866
AFE,1980,1,-3.338286850598782e-05,0.0006489220475484961,,0.005052304597872981,0.2571547748708085
AFE,1981,0,-0.00604920463040301,0.0028003466963196014,,0.004916581012051058,0.024694316436251862
AFE,1982,0,-0.023216733787372004,0.0011408309784503023,,0.004939961967157291,-0.03559414519485038
AFE,1983,1,-0.005723933120665006,0.0003070908883548995,,0.004902929973467307,0.032897477507725315
AFE,1984,1,-0.005836618118294987,0.00026903806279440085,,0.004701601665807242,-0.08598396378608752
AFE,1985,1,0.020227038503053005,-0.004224756270664702,,0.004124467613489724,-0.10671759747102216
AFE,1986,1,0.00885405223673899,0.0028606392954343,,0.0030597278647839232,0.1271565071220031
AFE,1987,1,-0.013285284244497014,0.011767644957979002,,0.0016694562255088474,0.22251002400528508
AFE,1988,0,-0.00041189285532597375,0.0035580049969814037,,0.00017182588022701673,0.05153530478702639
AFE,1989,0,0.00035948135126898095,0.0003223974275999991,,-0.0011076578781454849,0.02930805513577872
AFE,1990,0,-0.0010028809174459918,-0.0042901962168041055,,-0.0019053005023538239,0.09146139510511975
AFE,1991,0,0.052201862848956004,-0.0124998009929519,-0.013075329794960011,-0.002066290735866505,0.03462034919268997
AFE,1992,0,-0.015104878675183009,-0.006330538967412501,0.012312277246978032,-0.0017855933840285054,-0.012690477545427847
AFE,1993,0,-0.03031951627961499,0.0014892107719801997,0.00019861781876195916,-0.0013151416934878979,0.048811740711182106
AFE,1994,0,0.017171542150245994,-0.004846528537156499,0.01033710679134503,-0.0009506957365646995,0.015282245961724561
AFE,1995,0,-0.02564223723254401,-0.004848234401180703,0.006703690607685997,-0.0006565565607451473,0.12284105860994976
AFE,1996,0,-0.02582004934877538,-0.003063880652698997,0.011580110379386999,-0.00024262542261543896,-0.0045463647623356085
AFE,1997,0,0.005430124150416396,-8.629520536939869e-05,-0.00811121108491103,0.00048146555682238024,0.051303829533601464
AFE,1998,0,-0.0275434273335092,5.2984260039697084e-05,0.0008961763623039909,0.0015150074859673346,-0.0580237551911329
AFE,1999,0,0.0032460876935284932,0.004336713462656603,-0.0007231113560109415,0.002879981164568335,-0.013692601105188551
AFE,2000,0,0.007816203722062709,-0.002689426616794801,0.00833737526976197,0.004543857860349609,0.08297577775489429
AFE,2001,1,-0.027611311653993206,-0.0004320356418258016,0.011581092651170022,0.006442167285542588,-0.0884301275211038
AFE,2002,1,0.029233996811461493,0.0008171841443743028,0.012261980292030017,0.008461944775025154,0.02338096838624182
AFE,2003,1,-0.013140535241880899,-0.0027398838348653004,-0.022619945278787024,0.010427964631428477,0.3314407595462352
AFE,2004,1,-0.02426279453910799,0.0009201192478618982,0.0007433449025620043,0.012228765502928951,0.24436051852607932
AFE,2005,1,0.035346173362348805,-0.0003384873935089981,0.018275613429853954,0.013857819217289347,0.1672089610732872
AFE,2006,1,0.0034012577974260882,0.00018606588421219913,0.019236663165908052,0.01529014765650727,0.1243821496896107
AFE,2007,1,-0.004473889957903807,-0.00021564973587480038,0.02329273143715599,0.01625495726368298,0.14803741822575933
AFE,2008,1,0.04115869853165753,0.0013261183662044984,0.035597286703417,0.016656185097525533,0.07124774288384583
AFE,2009,1,-0.03612426635586262,5.285451104240432e-05,-0.07842631991268201,0.016586756319819207,0.005934885664512279
AFE,2010,1,-0.0341668010747267,-0.0037306690532219015,0.018701414753568013,0.016019886962015173,0.1892491558581897
AFE,2011,1,0.0343366849350115,-0.0004119988268705011,0.018924101774759006,0.015099841290278082,0.11324991828031084
AFE,2012,1,0.0018750074475874928,0.0003554368936198992,-0.015032195928026015,0.01401711439924358,0.0075717262857517564
AFE,2013,0,-0.034077258211920494,0.0018916237285458992,-0.008317638951508,0.012757244372319398,0.014435241304505686
AFE,2014,0,-0.0038069172343873983,0.0005926280807725046,-0.010262996963132986,0.011385813617132756,0.021327633519386158
AFE,2015,0,-0.0012011874653706026,-0.001999550221163205,-0.044972910642494035,0.009926162524828142,-0.06587788267142702
AFE,2016,0,0.013212255581907695,-0.002240028447428398,-0.0020554019491579867,0.008486976543320202,-0.050628852195275686
AFE,2017,0,-0.0017205300604575952,-0.00043793776490570063,-0.0010927612274309884,0.007303694436830543,0.1282422382650812
AFE,2018,0,-0.0167853202692083,-0.0021222858610492994,0.019298857890750004,0.0063675620901932906,0.027902605758730825
AFE,2019,0,-0.006005655186231598,-0.0004834845088906997,-0.013694383862544013,0.0055967045348173095,-0.0029027003011304897
AFE,2020,0,0.010712098470342102,0.00035397930930959956,-0.015166831809211995,0.00500724233044525,-0.08824350684714477
AFE,2021,0,,,,,
AFE,Unnamed: 66,0,,,,,
AFG,1960,0,,,,,
AFG,1961,1,,,0.0032121005080342976,0.015903347099796683,0.02066110626110218
AFG,1962,1,,,0.004246078546171601,0.01544202414901985,-0.0040485748897706175
AFG,1963,1,,,0.042935499737841915,0.014938304801171087,0.3739838581761825
AFG,1964,1,,,-0.0028270853242081118,0.014482941332313093,0.065088703083231
AFG,1965,1,,,0.02369386569304109,0.014073063865595037,0.2583332276625059
AFG,1966,1,,,-0.0268685035552209,0.01379191942314284,0.3907284836432614
AFG,1967,1,,,-0.01798520352363489,0.01366073948631108,0.19523818388775727
AFG,1968,1,,,0.0212676822168313,0.01361586011026339,-0.17928288993269836
AFG,1969,1,,,0.011949603403128492,0.013652720929593798,0.02588996659832854
AFG,1970,1,,,-0.0031063470167337903,0.013794037940379367,0.24132326451779718
AFG,1971,1,,,0.011383399716466791,0.013927129835066498,0.04701412612347555
AFG,1972,1,,,0.038408889864945006,0.013999472712892036,-0.1286398017433994
AFG,1973,0,,,-0.018145131628793998,0.014092197290762165,0.08635098564256993
AFG,1974,0,,-0.0025808551414222003,0.010719008537802999,0.014229674640412249,0.24358976012820577
AFG,1975,0,,0.0011124098543148983,-0.013445620390378998,0.014409221902017322,0.09793815014082274
AFG,1976,0,,0.0032402122882221017,0.005413343534073994,0.014628189792663449,0.07981223452555763
AFG,1977,0,,-0.0003461216344424027,-0.015544869151957005,0.014859388431781806,0.1556522018681663
AFG,1978,0,,,-0.008211540496957992,0.015101645692158883,0.11738149471615134
AFG,1979,0,,,,0.015282281136753673,0.12058796601694288
AFG,1980,0,,,,0.015474932487965276,-0.015202269849448391
AFG,1981,0,,,,0.01570160022199607,-0.044741293775859226
AFG,1982,0,,,,0.01580037793411182,
AFG,1983,0,,,,0.015845977990452065,
AFG,1984,1,,,,0.015797370046774395,
AFG,1985,1,,,,0.015660295395308443,
AFG,1986,1,,,,0.015504373302538399,
AFG,1987,1,,,,0.01526765783599382,
AFG,1988,1,,,,0.014913608927423327,
AFG,1989,1,,,,0.01451052524013896,
AFG,1990,1,,,,0.013920225624496352,
AFG,1991,1,,,,0.013272138443503945,
